campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
adviser_riot_newsintro_3				... bị cáo buộc nhận hối lộ để đổi lấy việc đưa ra các mức án tù nghiêm khắc hơn.
adviser_riot_newsintro_4				Thêm dầu vào lửa, các nguồn tin cho biết thế giới ngầm tội phạm gần đây đã bị rúng động bởi một loạt vụ giết người chấn động...
adviser_riot_newsintro_5				... bao gồm cả vụ mưu sát bất thành nhằm vào trùm sò mafia Victor Palermo vào tháng trước.
adviser_riot_newsintro_6				Phó tổng giám đốc của Charles Wallace, một người tương đối mới đối với chức vụ này, đã được giao nhiệm vụ lập lại trật tự.
adviser_riot_newsintro_7				Vẫn còn phải xem liệu sự thiếu kinh nghiệm có phải trả giá đắt trong cuộc khủng hoảng khó khăn này hay không.
adviser_riot_newsintro_8                Douglas Benedict, kẻ đang thụ án chung thân, được cho là kẻ chủ mưu đứng sau đợt bùng phát bạo lực này.

adviser_riot_newsintroheller_1 			Thị trưởng thành phố Calvin Heller vừa đưa ra tuyên bố này cách đây vài phút.
adviser_riot_newsintroheller_2 			Đối với những ai nghi ngờ chính sách cải tạo trừng phạt của chúng ta, đây sẽ là một lời nhắc nhở đanh thép. 
adviser_riot_newsintroheller_3 			Những người này được cung cấp chỗ ở và thức ăn. Được hưởng đặc quyền lao động có trả lương. 
adviser_riot_newsintroheller_4 			Đây là cách họ trả ơn những người đóng thuế, những người đang tài trợ cho sự tiện nghi của họ.

campaigncutscene_riothostages			Con tin
adviser_name_riotceo					Tổng giám đốc 
adviser_name_riotbenedict 				Benedict

adviser_riot_hostages1					Nghe cho kỹ đây. Chúng tao đang giữ Tổng giám đốc của chúng mày. 
adviser_riot_hostages1b 				Euugg... ...
adviser_riot_hostages2 					Quy luật hoạt động thế này: Tao hỏi. Chúng mày đưa. 
adviser_riot_hostages3					Bất kỳ rắc rối nào xảy ra, hay cho người xông vào, thậm chí chỉ cần tao ngửi thấy mùi cảnh sát, tao sẽ găm một viên đạn vào sọ lão ta.
adviser_riot_hostages4 					Chúng tao muốn một chiếc xe không có biển số hiệu. Kính tối màu. Đầy bình xăng. Trong vòng một giờ. Tao sẽ liên lạc lại.
adviser_riot_hostages5 					Giờ thì, chúng ta đang ở đâu rồi nhỉ.
adviser_riot_hostages5b					Ông đã làm gì trong cái văn phòng đó?
adviser_riot_hostages6					Tôi thề, tôi không biết gì cả.
adviser_riot_hostages7					Tôi đã nhìn hình bóng phản chiếu của chính mình đủ nhiều để biết khi nào một người đang làm điều sai trái.
adviser_riot_hostages8					Ông đang giấu giếm điều gì?
adviser_riot_hostages9					Tôi thuộc về một nơi như thế này. Nhưng còn đứa trẻ... việc thằng bé phải ngồi tù thêm thời gian thì có lợi gì cho ai cơ chứ?
adviser_riot_hostages10					Ông biết điều gì đó, và nói cho tôi biết là cách duy nhất để rời khỏi đây mà còn sống.

adviser_riot_hostageheller1 			Điều này hoàn toàn không thể chấp nhận được. Chúng ta cần có tai mắt ở nhà ăn đó để xem chuyện gì đang xảy ra.
adviser_riot_hostageheller2 			Có một phòng an ninh nhỏ ở phía bắc nhà ăn. Chúng ta cần chiếm lại nó.
adviser_riot_hostageheller3 			Bố trí một số Cai ngục vào đó để điều khiển bảng điều khiển CCTV, và chúng ta sẽ có tầm nhìn của toàn bộ khu phòng giam.

objective_Riot_MaxSecCameras			Chiếm lại phòng an ninh

campaigncutscene_riotroulette			Trò chơi Roulette

adviser_riot_rouletteintro1              Chúng ta đã có một cai ngục trong phòng an ninh, vì vậy chúng ta đang nhận được hình ảnh trực tiếp từ hệ thống camera CCTV.
adviser_riot_rouletteintro2              Hãy cùng xem xét tình hình con tin.
adviser_riot_click 						<click>
adviser_riot_roulette1					Cơ hội cuối cùng để bước ra khỏi đây đấy, sếp lớn. Đã bao giờ chơi trò đuổi bắt hai viên đạn chưa?
adviser_riot_roulette2 					Hai viên đạn. Bốn ổ trống. 
adviser_riot_roulette2b 				Hồi trước tôi hay chơi trò này với lũ thỏ rừng. Chúng tôi sẽ bắn bay đầu chúng sạch sẽ. 
adviser_riot_roulette3 					Nhưng với ông thì cũng tương tự thôi.
adviser_riot_roulette4 					Hãy bắt đầu bằng một câu hỏi đơn giản. Ông đã làm gì trong cái văn phòng đó?
adviser_riot_roulette5 					Tôi thề, tôi không biết gì cả.
adviser_riot_roulette5b 				Thật sao.
adviser_riot_roulette6 					Được rồi. Ai đi trước đây? Ông? Tôi? Hay là gã này?
adviser_riot_roulette7					Xem kìa. Giống hệt một con thỏ rừng.
adviser_riot_roulette8 					CÓ CÁI GÌ TRONG NHỮNG TẬP HỒ SƠ ĐÓ?
adviser_riot_roulette9 					Tôi thề! Tôi không biết...
adviser_riot_roulette10 				Vận may sắp hết rồi. Vẫn còn một viên đạn ở đâu đó trong kia. Và tôi biết những gì tôi đã thấy.
adviser_riot_roulette11b 				Tôi không thể tin vào mắt mình nữa.
adviser_riot_roulette11c 				Chính gã tai to mặt lớn của công ty, lại xuất hiện ở đây, trong nhà tù của tôi. Trông bản mặt rành rành là có tội.
adviser_riot_roulette11d 				Tôi đoán trong những tập hồ sơ đó có nhiều thứ hơn là chỉ có tiền án tiền sự của tôi.
adviser_riot_roulette11					Xin ông... xin đừng làm vậy. 
adviser_riot_roulette11e 				Tỷ lệ sống sót đang thấp dần đấy, Wallace.
adviser_riot_roulette12 				Tôi bảo ông cái này, tôi sẽ làm cho mọi việc dễ dàng hơn cho ông.
adviser_riot_roulette12b	 			Được rồi, dẹp mấy trò nhảm nhí này đi.
adviser_riot_roulette13 				Đến lượt mày rồi, thằng chó. Trừ khi mày chịu nói cho tao biết những gì tao muốn biết.
adviser_riot_roulette14 				Tôi không thể. Làm ơn.
adviser_riot_roulette15 				Được rồi! Làm ơn! Làm ơn đừng bắn. Là tiền. Tất cả đều là vì tiền.
adviser_riot_roulette16 				Chỉ thế thôi sao?
adviser_riot_roulette17 				Các người là những món hàng có giá trị. Các người ở trong này càng lâu, chúng tôi càng kiếm được nhiều lợi nhuận. Chúng tôi chỉ đang lách luật một chút thôi. 
adviser_riot_roulette17b				Tập hồ sơ đó chính là bằng chứng.
adviser_riot_roulette18 				Vậy chúng tôi đáng giá bao nhiêu? Các người nhận được gì khi giữ chúng tôi ở lại trong này?
adviser_riot_roulette19 				73.000 đô la một năm.
adviser_riot_roulette20					Mỗi người á? Thằng chó đẻ. Đã đến lúc ông phải bắt đầu trả nợ rồi đấy.

campaigncutscene_riotassault 			Đột kích

adviser_riot_assault01					Đúng vậy. Đã đến lúc phải chấm dứt tình trạng này rồi. 
adviser_riot_assault02 					Toàn đội đã vào vị trí. 
adviser_riot_assault03					Tao muốn xe của tao ngay bây giờ. Wallace sẽ đi cùng chúng tao. Và nếu tao phát hiện có kẻ bám đuôi, tụi mày sẽ phải cào từng mảnh vụn của lão ta trên đường cao tốc đấy.
adviser_riot_assault2 					Được rồi sếp lớn, đi với chúng tôi nào. Họ sẽ không dám làm trò gì ngu ngốc khi có ông ngồi ở ghế phụ đâu.
adviser_riot_assault3 					Không ai trong chúng ta rời khỏi đây được đâu. Người họ muốn không phải là anh.
adviser_riot_assault4 					Mày đang nói cái quái gì thế?
adviser_riot_assault5					Tôi làm vậy vì tiền. Nhưng HẮN làm vậy vì lợi ích chính trị. Án tù càng dài, hắn càng có nhiều phiếu bầu.
adviser_riot_assault6					Mày đang nói về thằng khốn nào thế?
adviser_riot_assault7					Thị trưởng Heller. Đó là bản thiết kế của hắn. Tôi chỉ là người bôi trơn các bánh răng thôi. 
adviser_riot_assault7b 					Những tập hồ sơ đó chính là bằng chứng có thể hủy hoại sự nghiệp của hắn.
adviser_riot_assault8					Mày đang giỡn mặt với tao à.
adviser_riot_assault9 					Cái quái gì thế...
adviser_riot_assault9b					Họ đang xông vào đấy, chuẩn bị đi!
adviser_riot_assault10					TAO ĐÃ CẢNH CÁO MÀY RỒI MÀ THẰNG KHỐN!

# Riot Objectives and help text

adviser_name_negotiator 				Người đàm phán

adviser_riot_negotiator1 				Ở đây đang mất kiểm soát rồi. Không có ai điều hành cả.
adviser_riot_negotiator2 				Chúng ta có nhiều thương vong, và những cai ngục còn lại không chịu tiến vào các khu phòng giam đang bạo loạn. Chúng ta đã phải rút lui ra hàng rào bảo vệ.
adviser_riot_negotiator3 				Hãy nghĩ cách giải quyết và chấm dứt chuyện này trước khi nó vượt ra khỏi tầm kiểm soát.
adviser_riot_negotiator4 				Cảnh sát cơ động sẽ đến đây trong vài phút nữa.

adviser_riot_firstreinforcements1 		Đội phản ứng nhanh đầu tiên đã đến. 
adviser_riot_firstreinforcements2 	 	Những người này là Vệ binh bạo động, và họ được trang bị giáp nặng hơn nhiều. Hãy sử dụng họ để bắt đầu chiếm lại các phân khu nhà tù bị kiểm soát. 
adviser_riot_firstreinforcements3 		Chúng ta cũng có một số cấp cứu viên từ bệnh viện bang gần đó.  
adviser_riot_firstreinforcements4 		Tôi đề xuất bạn sử dụng họ để cấp cứu y tế kịp thời cho các Vệ binh bạo động khi họ chiếm lại nhà tù.

objective_Riot_StopTheRiot 				Dập tắt cuộc bạo loạn
objective_Riot_StopTheRiot_description  Không có ai điều hành cả. Bạn cần phải nghĩ cách giải quyết.

adviser_riot_helleradvice1				Tôi đoán mình đang nói chuyện với phó tổng giám đốc. 
adviser_riot_helleradvice2 				Tôi hiểu đây là một thời điểm rất khó khăn và tất cả chúng ta đều đang bị giám sát chặt chẽ. Hãy yên tâm, bạn có sự hỗ trợ đầy đủ của tôi trong việc sử dụng bất kỳ và tất cả các nguồn lực có sẵn. 
adviser_riot_deployguards1				Chúng ta đã giành được chỗ đứng và chiếm lại được một phần nhà tù. Và thiệt hại về nhân mạng cho đến nay là hoàn toàn có thể chấp nhận được.
adviser_riot_deployguards2				Nhưng trước khi bạn tiến lên và chiếm lại phần còn lại của nhà tù, bạn nên tái bảo đảm an ninh cho các phân khu đã chiếm được.
adviser_riot_deployguards3				Hãy thuê một số cai ngục và phân công họ vào các khu vực đã chiếm lại từ màn hình Bố trí. Họ sẽ đảm bảo các phân khu đã chiếm được giữ vững vị trí.
adviser_riot_deployguards4 				Sau khi bạn đã giải quyết xong việc đó, hãy tiến vào các khu vực còn lại và hạ gục những con quái vật này. Những loài thú vật này không thể cải tạo được. Và không thể thương lượng với chúng.
adviser_riot_deployguards5 				Tôi đang tiến hành cấp phép cho một đội Phản ứng Vũ trang để chấm dứt chuyện này thật nhanh.

adviser_riot_infirmary1 				Bạn có người bị thương trên khắp nhà tù, và chắc chắn sẽ còn nhiều người nữa. Bạn không thể cứ để họ chảy máu cho đến chết được. 
adviser_riot_infirmary2 				Hãy xây dựng một Trạm y tế ở đâu đó trong khuôn viên, và thuê Bác sĩ để điều trị cho người bị thương.
adviser_riot_infirmary3 				Chúng ta cũng đã thấy khá nhiều thi thể. Vì sự tôn nghiêm của họ, chúng ta cần xây dựng một Nhà xác và bắt đầu thu gom họ lại.
adviser_riot_infirmary4					Bạn sẽ cần thuê thợ xây để thực hiện công việc xây dựng. Hãy chắc chắn giữ an toàn cho họ.

objective_Riot_ResecureWings 			Thuê cai ngục và bố trí họ đến các khu vực đã chiếm lại
objective_riot_medicalneeds				(TÙY CHỌN) Chăm sóc các nhu cầu y tế của nhà tù của bạn
objective_Riot_Infirmary				(Tùy chọn) Xây dựng một Trạm y tế và điều trị cho người bị thương
objective_Riot_Morgue 					(Tùy chọn) Xây dựng một Nhà xác và thu gom người chết
objective_Riot_SecureGenPop				Chiếm lại phân khu Giam giữ Chung (trung tâm)
objective_Riot_SecureSpecialWing		Chiếm lại phân khu Đặc biệt (phía tây)
objective_Riot_SecureMaxSec				Chiếm lại phân khu An ninh Cao (phía nam)
objective_riot_putoutfires				Khống chế ngọn lửa

adviser_riot_secondreinforcements1		Thêm nhiều Vệ binh bạo động đã đến.

adviser_riot_armedreinforcements1		Thị trưởng đã điều động một số cảnh sát vũ trang từ đồn cảnh sát gần đó đến.
adviser_riot_armedreinforcements2		Hãy cẩn thận với những người này. Bạn có thể sẽ phải gánh chịu một cuộc thảm sát đẫm máu nếu thả lỏng họ đấy.
adviser_riot_armedreinforcements3		Mặt khác, các tù nhân có thể chọn đầu hàng khi thấy những người này tiến vào.

adviser_riot_reinforcementsunlocked1 	Lực lượng tiếp viện chủ lực đã đến.
adviser_riot_reinforcementsunlocked2 	Giờ đây, bạn có thể gọi bao nhiêu đội Cảnh sát cơ động và Cấp cứu viên tùy thích từ thanh công cụ Khẩn cấp.

adviser_riot_cleanup1                    Cơ sở đã được kiểm soát và những kẻ bạo loạn đã bị khuất phục. Tình hình có thể dễ dàng trở nên tồi tệ hơn nhiều.
adviser_riot_cleanup2                    Chúng ta có một chiến dịch dọn dẹp cực kỳ lớn phía trước. Tôi rất cảm kích sự giúp đỡ của bạn nếu bạn có thời gian.
adviser_riot_cleanup2b 					Chúng ta không có bất kỳ nhà thầu xây dựng nào tại hiện trường, vì vậy bước đầu tiên sẽ là thuê thêm một số thợ xây mới để bắt tay vào sửa sang lại nơi này.
adviser_riot_cleanup3                    Tôi luôn nghĩ an ninh ở đây quá lỏng lẻo. Những tù nhân này đã được thả lỏng quá mức trong một thời gian dài. Điều đó sẽ chấm dứt từ hôm nay.
adviser_riot_cleanup4                    Tôi muốn bạn xây cho chúng ta một Kho vũ khí mới, sau đó bố trí cai ngục vũ trang tại các vị trí trọng yếu xung quanh nhà tù. Cảnh tượng đó sẽ khuất phục những tù nhân này và họ sẽ phải suy nghĩ kỹ trước khi gây ra rắc rối lớn như thế này lần nữa.
adviser_riot_cleanup5                    Tôi cũng đang phê duyệt ngân sách để cung cấp áo giáp cho toàn bộ cai ngục tại đây. Người của chúng ta cần phải có khả năng tự vệ.
adviser_riot_cleanup6                    Hãy tiếp tục nào. Những tù nhân này cần kỷ luật. Sự trật tự trong cuộc sống của họ. Tôi đề xuất chúng ta bắt họ làm việc để dọn dẹp đống hỗn độn mà họ đã gây ra.
adviser_riot_cleanup7                    Bắt đầu một chương trình lao động cho các tù nhân của chúng ta, và đưa họ vào làm việc dọn dẹp nhà tù và giặt ủi.
adviser_riot_cleanup7b                  Bạn có thể phân công tù nhân làm việc từ thanh công cụ, dưới mục Hậu cần. Rê chuột vào mục tiêu để biết thêm trợ giúp chi tiết về cách thực hiện việc này.
adviser_riot_cleanup8                    Chúng ta còn một vài yêu cầu khác. Có rất nhiều tù nhân cần được dạy dỗ về những sai lầm của họ. Hãy xây dựng một phân khu Biệt giam mới.
adviser_riot_cleanup8b                  Cai ngục của chúng ta sẽ chịu trách nhiệm chuyển tù nhân đến phòng Biệt giam khi có yêu cầu. Biệt giam giúp tù nhân có thời gian để suy ngẫm về những gì họ đã làm, và nhắc nhở họ ai mới là người điều hành ở đây.
adviser_riot_cleanup9                    Và đừng quên các nhân viên, những người đã cùng chúng ta vượt qua thử thách này. Họ đã kiệt sức rồi.
adviser_riot_cleanup9b 					Hãy xây dựng một phòng nghỉ nhân viên ở đâu đó để cho họ có nơi phục hồi sức khỏe.
adviser_riot_cleanup10                  Cuối cùng, chúng ta cần hoàn thành tất cả những việc này trong phạm vi ngân sách. Hãy đảm bảo chúng ta có số dư ngân hàng và dòng tiền dương. 
adviser_riot_cleanup10b 				Lao động tù nhân rẻ hơn đáng kể so với các nhà thầu khi nói đến việc lau dọn, công việc lao công, giặt ủi và những việc tương tự. 
adviser_riot_cleanup11                  Có rất nhiều việc phải làm ở đây. Chúng tôi thực sự trân trọng sự giúp đỡ của bạn.
adviser_riot_cleanup12                  Khi bạn cảm thấy mình đã làm đủ và sẵn sàng chuyển đi, hãy nhấp vào ảnh polaroid cạnh cổng chính.

adviser_riot_cleanup13 					Công việc xuất sắc lắm. Tôi nghĩ an ninh của cơ sở này hiện trông đã vững chắc hơn nhiều rồi. 

objective_riot_solitary 				(TÙY CHỌN) Xây dựng một phân khu Biệt giam và bắt đầu trừng phạt những kẻ bạo loạn
objective_riot_armoury 					(TÙY CHỌN) Triển khai các giao thức an ninh mới
objective_riot_armoury_research			Mở khóa Kho vũ khí thông qua Hành chính
objective_riot_armoury_build 			Xây dựng một Kho vũ khí (tại một vị trí an toàn)
objective_riot_armoury_deploy			Bố trí cai ngục vũ trang xung quanh nhà tù
objective_riot_armoury_armour 			Mở khóa áo giáp cho toàn bộ nhân viên an ninh
objective_riot_armoury_tazers 			Mở khóa Súng điện cho cai ngục vũ trang của bạn 
objective_riot_staffroom 				(TÙY CHỌN) Xây dựng một Phòng nghỉ nhân viên cho các nhân viên đã kiệt sức của bạn 
objective_riot_balancebooks 			(TÙY CHỌN) Cân đối các tài khoản 
objective_riot_balancebooks_balance 	Số dư ngân hàng dương 
objective_riot_balancebooks_cashflow 	Dòng tiền dương
objective_riot_prisonerwork				(TÙY CHỌN) Thiết lập một chương trình lao động cải tạo 

objective_riot_cleaningcupboard			Xây dựng một Tủ vệ sinh 
objective_riot_laundry					Xây dựng một Phòng giặt 
objective_riot_inmatesincleaning 		Phân công tù nhân làm việc trong Ban Vệ sinh
objective_riot_inmatesinlaundry			Phân công tù nhân làm việc trong Phòng giặt
objective_riot_cleanprison 				Dọn dẹp nhà tù 
objective_riot_providelaundry			Cung cấp đồ giặt sạch

objective_riot_armoury_research_description		Biểu tượng hành chính nằm ngay phía trên danh sách việc cần làm này. Nhấp để bắt đầu làm việc về mục 'Kho vũ khí' - Trưởng an ninh của bạn sẽ xử lý các thủ tục giấy tờ. 
objective_riot_armoury_deploy_description        Để bố trí cai ngục vũ trang, hãy vào mục Bố trí rồi chọn 'Tuần tra vũ trang'. Nhấp và kéo để vẽ các tuyến tuần tra nơi bạn muốn, sau đó nhấp lại vào các tuyến tuần tra đó để phân công cai ngục vũ trang vào.
objective_riot_armoury_guardtazers_description  Hãy xem trong mục Báo cáo / Chương trình - bạn sẽ thấy 'Huấn luyện súng điện cai ngục'.\n\nCai ngục của bạn cần được huấn luyện trước khi có thể sử dụng Súng điện. Bạn sẽ cần xây dựng một Phòng học để thực hiện việc huấn luyện này.
objective_riot_prisonerwork_description          Để phân công tù nhân làm việc, hãy vào mục 'Hậu cần' rồi chọn 'Lao động tù nhân'. Nhấp để thêm việc làm vào bất kỳ phòng nào được tô màu xanh lá cây.\n\nBạn cũng phải chỉ định thời gian tù nhân làm việc. Hãy vào mục Báo cáo / Lịch sinh hoạt, và thêm vài giờ 'Lao động' vào ngày. Tù nhân sẽ làm việc nếu có sẵn việc làm trong thời gian này.

objective_Riot_PlayerExitsMap			Nhấp vào ảnh polaroid bên ngoài lối vào chính khi bạn hoàn thành.


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        Vụ cướp
campaigncutscene_convictionmorgan       Morgan
campaigncutscene_convictionvisitation   Thăm nuôi
campaigncutscene_convictionsuicide      Tự sát

campaignchapter_conviction              Bản Án
campaignchapter_conviction_description  Một trong các tù nhân của chúng ta đã được đưa vào diện theo dõi tự sát. Henry Morgan, đồng phạm của Benedict. Đang thụ án được mười ba tháng trong mức án năm năm. Hãy giúp chúng tôi chăm sóc những người đàn ông này.

adviser_name_benedictarmed              Benedict
adviser_name_morgan                     Henry Morgan
adviser_name_morganarmed				Henry Morgan
adviser_name_morganhappy                Henry Morgan
adviser_name_senator                    Thượng nghị sĩ Walter Hurst
adviser_name_detective                  Thanh tra cảnh sát
adviser_name_kerry 						Kerry Morgan 
adviser_name_hurst 						Bác sĩ Walter Hurst 
adviser_name_keane 						Sĩ quan Keane 

adviser_conviction_heist1                Gom tiền đi, nhóc.
adviser_conviction_heist2                Bỏ vũ khí xuống, ngay lập tức!
adviser_conviction_heist2b				Ôi chết tiệt!
adviser_conviction_heist3                Bắn đi, mẹ kiếp!
adviser_conviction_heist4                Mày còn chờ cái quái gì nữa, bắn đi đồ nhát gan chết tiệt!
adviser_conviction_heist6                Lũ chó đẻ!
adviser_conviction_heist7                Đừng bắn! Đừng bắn!
adviser_conviction_heist8                GIƠ TAY LÊN, LŨ KHỐN NẠN!
adviser_conviction_heist9                Làm chính xác những gì tao làm, hiểu chưa?
adviser_conviction_heist10              Chết tiệt, chết tiệt, CHẾT TIỆT!
adviser_conviction_heist11              Đừng bắn! ĐỪNG BẮN!

conviction_intro_1                      Sau thảm kịch gần đây tại Nhà tù Alchemico, chúng ta đang bị giám sát chính trị vô cùng gắt gao.
conviction_intro_2                      Cho đến khi tìm được người thay thế lâu dài cho vị trí Tổng giám đốc, tôi muốn bạn tạm thời tiếp quản.
conviction_intro_3                      Gần đây đã có một loạt vụ tự sát tại cơ sở này, và không khó để hiểu lý do tại sao. Nhưng chúng ta có một vấn đề cấp bách hơn.
conviction_intro_4                      Chính quyền đã quyết định gửi cho chúng ta một đợt tù nhân mới rất lớn. Những người đầu tiên sẽ đến vào ngày mai, và chúng ta không có nơi nào để chứa họ.
conviction_intro_5                      Chúng tôi cần bạn xây dựng một khu phòng giam hoàn toàn mới, với đủ không gian để tiếp nhận đợt tù nhân mới.
conviction_intro_5b                     Tôi đã vạch ra một thiết kế tiềm năng cho khu phòng giam mới ở đây. Thiết kế này sẽ cung cấp cho chúng ta đủ số phòng giam mới để tiếp nhận tù nhân, và bản thiết kế bao gồm cả khu vực phòng tắm riêng. 
conviction_intro_5c                     Nhưng quyết định hoàn toàn tùy thuộc vào bạn, có thể làm theo thiết kế này hoặc xây một cái gì đó hoàn toàn khác.
conviction_intro_6                      Nhiệm vụ của tôi là ưu tiên phúc lợi của những con người này. Hãy xây dựng xong khu phòng giam mới đó đi, rồi chúng ta sẽ thảo luận về cách đạt được điều đó.

unused_conviction_intro_4                Một trong các tù nhân của chúng ta đã được đưa vào diện theo dõi tự sát. Henry Morgan, đồng phạm của Benedict. Đang thụ án được mười ba tháng trong mức án năm năm.
unused_conviction_intro_7						Tôi muốn đến và nói chuyện với anh ta. Chúng ta không thể để xảy ra một vụ tự sát nào nữa.

conviction_workintro1                   Chúng ta đã đối xử với những người này như cỏ rác quá lâu rồi. Điều đó sẽ kết thúc từ hôm nay.
conviction_workintro2                   Tổng giám đốc trước đây chưa bao giờ thực sự tin tưởng vào việc cải tạo tù nhân. Nhưng theo góc nhìn của tôi, chúng ta cần mang lại cho những người này một chút niềm hy vọng vào tương lai.
conviction_workintro3                   Chúng ta cần cung cấp cho họ những kỹ năng cần thiết để thành công khi được trả tự do - các kỹ năng nghề nghiệp quý giá, một nền giáo dục cơ bản.
conviction_workintro4                   Chúng ta nên bắt đầu một chương trình học nghề lao động. Huấn luyện những người này các kỹ năng thực tế ngoài đời, để ít nhất họ có một tương lai để mong đợi.


conviction_hurst1 						Sự thiếu thốn các hoạt động gắn kết tại cơ sở này thật đáng kinh ngạc. Con người bị tước đoạt đi mọi mảnh vụn của tính người.
conviction_hurst2 						Họ đang nhận được rất ít sự trắc ẩn hay tôn trọng. 
conviction_hurst3 						Đó không phải là những gì họ xứng đáng phải nhận.
conviction_hurst4 						Đúng vậy, Đại úy. Đây không phải là cách đối xử với một con người. Họ bị tước đoạt đi mọi mảnh vụn của tính người. 
conviction_hurst4b                       Tại sao họ phải tuân thủ các quy tắc của chúng ta? Ông không thể mong đợi họ phản ứng theo bất kỳ cách nào khác ngoài sự oán hận tột cùng. 
conviction_hurst4c						Chúng ta cần các phòng học, các chương trình cai nghiện ma túy. Một xưởng lao động, để họ có thể bắt đầu tự hào về kỹ năng của mình.
conviction_hurst6                        Ông hiểu sai ý tôi rồi, Bác sĩ. Những kẻ này không phải là con người. Hãy tự mình xem đi.
conviction_hurst6b                       Đứng dậy mau, Morgan!
conviction_hurst7                        Anh có khách thăm này.
conviction_hurst8                        Cải tạo á? Thà đi dạy khỉ chơi đàn banjo còn hơn.

conviction_hurst10 						Tên anh là gì hả cậu?
conviction_hurst10b                      Người ta đang hỏi anh kìa.
conviction_hurst11 						Henry, thưa ông.
conviction_hurst12 						Dưới đó chắc lạnh lắm, Henry. Mặc cái này vào đi.
conviction_hurst13 						Có chấy rận trên giường thưa ông. Chúng ăn tươi nuốt sống tôi. Cái áo này giúp ngăn lũ chuột. Những con to nhất tôi từng thấy.
conviction_hurst14 						Cứ gọi tôi là Walter.
conviction_hurst15 						Anh ngủ nghê thế nào?
conviction_hurst16 						Không ngủ được. Điều duy nhất tôi làm ở trong này là suy nghĩ. Có rất nhiều thời gian để suy nghĩ.
conviction_hurst16b                      Anh hay nghĩ về điều gì?
conviction_hurst16c                      Hầu hết là cái chết. Và đứa con gái nhỏ của tôi.
conviction_hurst17 						Con bé sẽ cần anh phải mạnh mẽ đấy, Henry. Chuyện này cũng sẽ rất khó khăn với con bé.
conviction_hurst18 						Nó đã ở sau song sắt mỗi ngày trong cuộc đời nó. Nó thậm chí còn không biết tôi có tồn tại.
conviction_hurst19 						Chưa bao giờ là quá muộn để thay đổi một cuộc đời đâu, Henry. 
conviction_hurst19b 					Tôi muốn đến thăm anh lần nữa nếu có thể.
conviction_hurst20 						Vâng, thưa ông. Cảm ơn ông.
conviction_hurst21 						Chúng ta có thể làm gì đó với lũ chuột đó không? Đây đâu phải là thế giới thứ ba.
conviction_hurst22 						Tôi sẽ cho một ít thuốc chuột vào trong đó.

conviction_visitationintro_1            Tôi đã thuyết phục được trưởng an ninh phá lệ cho gia đình Morgan đến thăm nuôi.

conviction_visitation_0					Xin chào ông. Tôi là Kerry Morgan, đến để thăm Henry Morgan.
conviction_visitation_1					Đứng sau vạch kẻ.
conviction_visitation_2 				Tôi xin lỗi. Tôi đến để gặp Henry. Henry Morgan. Anh ấy là chồng tôi, thưa ông.
conviction_visitation_3 				Tôi sẽ không nhắc lại lần nữa đâu. Đứng sau vạch kẻ. Ngay lập tức.
conviction_visitation_4 				Vâng, thưa ông. Xin lỗi ông.
conviction_visitation_5 				Được rồi. Tiến lên phía trước đi. Tôi không có cả ngày đâu.
conviction_visitation_6					Tên.
conviction_visitation_7					Kerry Morgan, thưa ông. Đến gặp Henry Morgan. Và đây là đứa con gái nhỏ của anh ấy.
conviction_visitation_8					Cô bảo với hắn như vậy đúng không? Đi qua đi.
conviction_visitation_8a                Kerry!
conviction_visitation_9					E là đã có một sự nhầm lẫn. Morgan đã mất đặc quyền thăm nuôi rồi.
conviction_visitation_9b 				Cái gì cơ? 
conviction_visitation_9c 				Tôi xin lỗi. Chúng tôi tìm thấy rượu lậu trong phòng giam của hắn sáng nay. Tôi không thể làm gì khác được.
conviction_visitation_10				Tôi phải mất hai tiếng đồng hồ mới đến được đây. Con gái tôi đang khóc. Như vậy không công bằng.
conviction_visitation_11				Muốn công bằng thì đi Disneyland đi. Công bằng là nơi cô thắng được cá vàng và ăn bánh mì kẹp xúc xích. Cô không tìm thấy nó ở đây đâu.
conviction_visitation_12				Làm ơn, hãy đưa cái này cho anh ấy.
conviction_visitation_13                Được thôi. Hắn ta sẽ không có khách thăm trong một thời gian khá dài đâu. Có lời nhắn gì không?
conviction_visitation_14                Không. Không có lời nhắn gì.

conviction_visitation_angrymorgan0		Không!
conviction_visitation_angrymorgan1		Chờ đã!
conviction_visitation_angrymorgan2		Các người không được làm thế!
conviction_visitation_angrymorgan3		Cho tôi nói chuyện với cô ấy!
conviction_visitation_angrymorgan4		Lũ khốn nạn tụi mày!

conviction_helpinmates_1                 Điều đó thật là thất vọng.
conviction_helpinmates_2                 Thật khó để tìm cách thực sự giúp đỡ những người này. Họ cần được dạy cách tự vươn lên.
conviction_helpinmates_3                 Tôi nghĩ rõ ràng chúng ta cần giải quyết khu vực phòng thăm nuôi. Các gia đình đang xếp hàng dài ra tận cửa, và chúng ta rõ ràng không thể xử lý hết lượng khách thăm mà chúng ta đang thấy hiện nay.
