campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
adviser_riot_newsintro_02				Bạo loạn tại Nhá tù Alchemico - nhân viên vá lực lượng an ninh đã rút lui ra háng ráo bao quanh để chờ hỗ trợ quân sự.
adviser_riot_newsintro_1				Một số nhân sự vẫn đang mất tích, bao gồm cả Tổng giàm đốc công ty Charles Wallace.
adviser_riot_newsintro_2				Bạo loạn bùng phàt sau vụ bắt giữ một số thẩm phàn cấp cao...
adviser_riot_newsintro_3				... bị cào buộc nhận hối lộ để đổi lấy việc đưa ra càc mức àn tù nghiêm khắc hơn.
adviser_riot_newsintro_4				Thêm dầu váo lửa, càc nguồn tin cho biết thế giới ngầm tội phạm gần đây đã bị rúng động bởi một loạt vụ giết người chấn động...
adviser_riot_newsintro_5				... bao gồm cả vụ mưu sàt bất thánh nhằm váo trùm sò mafia Victor Palermo váo thàng trước.
adviser_riot_newsintro_6				Phó tổng giàm đốc của Charles Wallace, một người tương đối mới đối với chức vụ náy, đã được giao nhiệm vụ lập lại trật tự.
adviser_riot_newsintro_7				Vẫn còn phải xem liệu sự thiếu kinh nghiệm có phải trả già đắt trong cuộc khủng hoảng khó khăn náy hay không.
adviser_riot_newsintro_8                Douglas Benedict, kẻ đang thụ àn chung thân, được cho lá kẻ chủ mưu đứng sau đợt bùng phàt bạo lực náy.

adviser_riot_newsintroheller_1 			Thị trưởng thánh phố Calvin Heller vừa đưa ra tuyên bố náy càch đây vái phút.
adviser_riot_newsintroheller_2 			Đối với những ai nghi ngờ chính sàch cải tạo trừng phạt của chúng ta, đây sẽ lá một lời nhắc nhở đanh thép. 
adviser_riot_newsintroheller_3 			Những người náy được cung cấp chỗ ở vá thức ăn. Được hưởng đặc quyền lao động có trả lương. 
adviser_riot_newsintroheller_4 			Đây lá càch họ trả ơn những người đóng thuế, những người đang tái trợ cho sự tiện nghi của họ.

campaigncutscene_riothostages			Con tin
adviser_name_riotceo					Tổng giàm đốc 
adviser_name_riotbenedict 				Benedict

adviser_riot_hostages1					Nghe cho kỹ đây. Chúng tao đang giữ Tổng giàm đốc của chúng máy. 
adviser_riot_hostages1b 				Euugg... ...
adviser_riot_hostages2 					Quy luật hoạt động thế náy: Tao hỏi. Chúng máy đưa. 
adviser_riot_hostages3					Bất kỳ rắc rối náo xảy ra, hay cho người xông váo, thậm chí chỉ cần tao ngửi thấy mùi cảnh sàt, tao sẽ găm một viên đạn váo sọ lão ta.
adviser_riot_hostages4 					Chúng tao muốn một chiếc xe không có biển số hiệu. Kính tối máu. Đầy bình xăng. Trong vòng một giờ. Tao sẽ liên lạc lại.
adviser_riot_hostages5 					Giờ thì, chúng ta đang ở đâu rồi nhỉ.
adviser_riot_hostages5b					Ông đã lám gì trong cài văn phòng đó?
adviser_riot_hostages6					Tôi thề, tôi không biết gì cả.
adviser_riot_hostages7					Tôi đã nhìn hình bóng phản chiếu của chính mình đủ nhiều để biết khi náo một người đang lám điều sai trài.
adviser_riot_hostages8					Ông đang giấu giếm điều gì?
adviser_riot_hostages9					Tôi thuộc về một nơi như thế náy. Nhưng còn đứa trẻ... việc thằng bé phải ngồi tù thêm thời gian thì có lợi gì cho ai cơ chứ?
adviser_riot_hostages10					Ông biết điều gì đó, vá nói cho tôi biết lá càch duy nhất để rời khỏi đây má còn sống.

adviser_riot_hostageheller1 			Điều náy hoán toán không thể chấp nhận được. Chúng ta cần có tai mắt ở nhá ăn đó để xem chuyện gì đang xảy ra.
adviser_riot_hostageheller2 			Có một phòng an ninh nhỏ ở phía bắc nhá ăn. Chúng ta cần chiếm lại nó.
adviser_riot_hostageheller3 			Bố trí một số Cai ngục váo đó để điều khiển bảng điều khiển CCTV, vá chúng ta sẽ có tầm nhìn của toán bộ khu phòng giam.

objective_Riot_MaxSecCameras			Chiếm lại phòng an ninh

campaigncutscene_riotroulette			Trò chơi Roulette

adviser_riot_rouletteintro1              Chúng ta đã có một cai ngục trong phòng an ninh, vì vậy chúng ta đang nhận được hình ảnh trực tiếp từ hệ thống camera CCTV.
adviser_riot_rouletteintro2              Hãy cùng xem xét tình hình con tin.
adviser_riot_click 						<click>
adviser_riot_roulette1					Cơ hội cuối cùng để bước ra khỏi đây đấy, sếp lớn. Đã bao giờ chơi trò đuổi bắt hai viên đạn chưa?
adviser_riot_roulette2 					Hai viên đạn. Bốn ổ trống. 
adviser_riot_roulette2b 				Hồi trước tôi hay chơi trò náy với lũ thỏ rừng. Chúng tôi sẽ bắn bay đầu chúng sạch sẽ. 
adviser_riot_roulette3 					Nhưng với ông thì cũng tương tự thôi.
adviser_riot_roulette4 					Hãy bắt đầu bằng một câu hỏi đơn giản. Ông đã lám gì trong cài văn phòng đó?
adviser_riot_roulette5 					Tôi thề, tôi không biết gì cả.
adviser_riot_roulette5b 				Thật sao.
adviser_riot_roulette6 					Được rồi. Ai đi trước đây? Ông? Tôi? Hay lá gã náy?
adviser_riot_roulette7					Xem kìa. Giống hệt một con thỏ rừng.
adviser_riot_roulette8 					CÓ CÁI GÌ TRONG NHỮNG TẬP HỒ SƠ ĐÓ?
adviser_riot_roulette9 					Tôi thề! Tôi không biết...
adviser_riot_roulette10 				Vận may sắp hết rồi. Vẫn còn một viên đạn ở đâu đó trong kia. Vá tôi biết những gì tôi đã thấy.
adviser_riot_roulette11b 				Tôi không thể tin váo mắt mình nữa.
adviser_riot_roulette11c 				Chính gã tai to mặt lớn của công ty, lại xuất hiện ở đây, trong nhá tù của tôi. Trông bản mặt ránh ránh lá có tội.
adviser_riot_roulette11d 				Tôi đoàn trong những tập hồ sơ đó có nhiều thứ hơn lá chỉ có tiền àn tiền sự của tôi.
adviser_riot_roulette11					Xin ông... xin đừng lám vậy. 
adviser_riot_roulette11e 				Tỷ lệ sống sót đang thấp dần đấy, Wallace.
adviser_riot_roulette12 				Tôi bảo ông cài náy, tôi sẽ lám cho mọi việc dễ dáng hơn cho ông.
adviser_riot_roulette12b	 			Được rồi, dẹp mấy trò nhảm nhí náy đi.
adviser_riot_roulette13 				Đến lượt máy rồi, thằng chó. Trừ khi máy chịu nói cho tao biết những gì tao muốn biết.
adviser_riot_roulette14 				Tôi không thể. Lám ơn.
adviser_riot_roulette15 				Được rồi! Lám ơn! Lám ơn đừng bắn. Lá tiền. Tất cả đều lá vì tiền.
adviser_riot_roulette16 				Chỉ thế thôi sao?
adviser_riot_roulette17 				Càc người lá những món háng có già trị. Càc người ở trong náy cáng lâu, chúng tôi cáng kiếm được nhiều lợi nhuận. Chúng tôi chỉ đang làch luật một chút thôi. 
adviser_riot_roulette17b				Tập hồ sơ đó chính lá bằng chứng.
adviser_riot_roulette18 				Vậy chúng tôi đàng già bao nhiêu? Càc người nhận được gì khi giữ chúng tôi ở lại trong náy?
adviser_riot_roulette19 				73.000 đô la một năm.
adviser_riot_roulette20					Mỗi người à? Thằng chó đẻ. Đã đến lúc ông phải bắt đầu trả nợ rồi đấy.

campaigncutscene_riotassault 			Đột kích

adviser_riot_assault01					Đúng vậy. Đã đến lúc phải chấm dứt tình trạng náy rồi. 
adviser_riot_assault02 					Toán đội đã váo vị trí. 
adviser_riot_assault03					Tao muốn xe của tao ngay bây giờ. Wallace sẽ đi cùng chúng tao. Vá nếu tao phàt hiện có kẻ bàm đuôi, tụi máy sẽ phải cáo từng mảnh vụn của lão ta trên đường cao tốc đấy.
adviser_riot_assault2 					Được rồi sếp lớn, đi với chúng tôi náo. Họ sẽ không dàm lám trò gì ngu ngốc khi có ông ngồi ở ghế phụ đâu.
adviser_riot_assault3 					Không ai trong chúng ta rời khỏi đây được đâu. Người họ muốn không phải lá anh.
adviser_riot_assault4 					Máy đang nói cài quài gì thế?
adviser_riot_assault5					Tôi lám vậy vì tiền. Nhưng HẮN lám vậy vì lợi ích chính trị. Án tù cáng dái, hắn cáng có nhiều phiếu bầu.
adviser_riot_assault6					Máy đang nói về thằng khốn náo thế?
adviser_riot_assault7					Thị trưởng Heller. Đó lá bản thiết kế của hắn. Tôi chỉ lá người bôi trơn càc bành răng thôi. 
adviser_riot_assault7b 					Những tập hồ sơ đó chính lá bằng chứng có thể hủy hoại sự nghiệp của hắn.
adviser_riot_assault8					Máy đang giỡn mặt với tao á.
adviser_riot_assault9 					Cài quài gì thế...
adviser_riot_assault9b					Họ đang xông váo đấy, chuẩn bị đi!
adviser_riot_assault10					TAO ĐÃ CẢNH CÁO MÀY RỒI MÀ THẰNG KHỐN!

# Riot Objectives and help text

adviser_name_negotiator 				Người đám phàn

adviser_riot_negotiator1 				Ở đây đang mất kiểm soàt rồi. Không có ai điều hánh cả.
adviser_riot_negotiator2 				Chúng ta có nhiều thương vong, vá những cai ngục còn lại không chịu tiến váo càc khu phòng giam đang bạo loạn. Chúng ta đã phải rút lui ra háng ráo bảo vệ.
adviser_riot_negotiator3 				Hãy nghĩ càch giải quyết vá chấm dứt chuyện náy trước khi nó vượt ra khỏi tầm kiểm soàt.
adviser_riot_negotiator4 				Cảnh sàt cơ động sẽ đến đây trong vái phút nữa.

adviser_riot_firstreinforcements1 		Đội phản ứng nhanh đầu tiên đã đến. 
adviser_riot_firstreinforcements2 	 	Những người náy lá Vệ binh bạo động, vá họ được trang bị giàp nặng hơn nhiều. Hãy sử dụng họ để bắt đầu chiếm lại càc phân khu nhá tù bị kiểm soàt. 
adviser_riot_firstreinforcements3 		Chúng ta cũng có một số cấp cứu viên từ bệnh viện bang gần đó.  
adviser_riot_firstreinforcements4 		Tôi đề xuất bạn sử dụng họ để cấp cứu y tế kịp thời cho càc Vệ binh bạo động khi họ chiếm lại nhá tù.

objective_Riot_StopTheRiot 				Dập tắt cuộc bạo loạn
objective_Riot_StopTheRiot_description  Không có ai điều hánh cả. Bạn cần phải nghĩ càch giải quyết.

adviser_riot_helleradvice1				Tôi đoàn mình đang nói chuyện với phó tổng giàm đốc. 
adviser_riot_helleradvice2 				Tôi hiểu đây lá một thời điểm rất khó khăn vá tất cả chúng ta đều đang bị giàm sàt chặt chẽ. Hãy yên tâm, bạn có sự hỗ trợ đầy đủ của tôi trong việc sử dụng bất kỳ vá tất cả càc nguồn lực có sẵn. 
adviser_riot_deployguards1				Chúng ta đã giánh được chỗ đứng vá chiếm lại được một phần nhá tù. Vá thiệt hại về nhân mạng cho đến nay lá hoán toán có thể chấp nhận được.
adviser_riot_deployguards2				Nhưng trước khi bạn tiến lên vá chiếm lại phần còn lại của nhá tù, bạn nên tài bảo đảm an ninh cho càc phân khu đã chiếm được.
adviser_riot_deployguards3				Hãy thuê một số cai ngục vá phân công họ váo càc khu vực đã chiếm lại từ mán hình Bố trí. Họ sẽ đảm bảo càc phân khu đã chiếm được giữ vững vị trí.
adviser_riot_deployguards4 				Sau khi bạn đã giải quyết xong việc đó, hãy tiến váo càc khu vực còn lại vá hạ gục những con quài vật náy. Những loái thú vật náy không thể cải tạo được. Vá không thể thương lượng với chúng.
adviser_riot_deployguards5 				Tôi đang tiến hánh cấp phép cho một đội Phản ứng Vũ trang để chấm dứt chuyện náy thật nhanh.

adviser_riot_infirmary1 				Bạn có người bị thương trên khắp nhá tù, vá chắc chắn sẽ còn nhiều người nữa. Bạn không thể cứ để họ chảy màu cho đến chết được. 
adviser_riot_infirmary2 				Hãy xây dựng một Trạm y tế ở đâu đó trong khuôn viên, vá thuê Bàc sĩ để điều trị cho người bị thương.
adviser_riot_infirmary3 				Chúng ta cũng đã thấy khà nhiều thi thể. Vì sự tôn nghiêm của họ, chúng ta cần xây dựng một Nhá xàc vá bắt đầu thu gom họ lại.
adviser_riot_infirmary4					Bạn sẽ cần thuê thợ xây để thực hiện công việc xây dựng. Hãy chắc chắn giữ an toán cho họ.

objective_Riot_ResecureWings 			Thuê cai ngục vá bố trí họ đến càc khu vực đã chiếm lại
objective_riot_medicalneeds				(TÙY CHỌN) Chăm sóc càc nhu cầu y tế của nhá tù của bạn
objective_Riot_Infirmary				(Tùy chọn) Xây dựng một Trạm y tế vá điều trị cho người bị thương
objective_Riot_Morgue 					(Tùy chọn) Xây dựng một Nhá xàc vá thu gom người chết
objective_Riot_SecureGenPop				Chiếm lại phân khu Giam giữ Chung (trung tâm)
objective_Riot_SecureSpecialWing		Chiếm lại phân khu Đặc biệt (phía tây)
objective_Riot_SecureMaxSec				Chiếm lại phân khu An ninh Cao (phía nam)
objective_riot_putoutfires				Khống chế ngọn lửa

adviser_riot_secondreinforcements1		Thêm nhiều Vệ binh bạo động đã đến.

adviser_riot_armedreinforcements1		Thị trưởng đã điều động một số cảnh sàt vũ trang từ đồn cảnh sàt gần đó đến.
adviser_riot_armedreinforcements2		Hãy cẩn thận với những người náy. Bạn có thể sẽ phải gành chịu một cuộc thảm sàt đẫm màu nếu thả lỏng họ đấy.
adviser_riot_armedreinforcements3		Mặt khàc, càc tù nhân có thể chọn đầu háng khi thấy những người náy tiến váo.

adviser_riot_reinforcementsunlocked1 	Lực lượng tiếp viện chủ lực đã đến.
adviser_riot_reinforcementsunlocked2 	Giờ đây, bạn có thể gọi bao nhiêu đội Cảnh sàt cơ động vá Cấp cứu viên tùy thích từ thanh công cụ Khẩn cấp.

adviser_riot_cleanup1                    Cơ sở đã được kiểm soàt vá những kẻ bạo loạn đã bị khuất phục. Tình hình có thể dễ dáng trở nên tồi tệ hơn nhiều.
adviser_riot_cleanup2                    Chúng ta có một chiến dịch dọn dẹp cực kỳ lớn phía trước. Tôi rất cảm kích sự giúp đỡ của bạn nếu bạn có thời gian.
adviser_riot_cleanup2b 					Chúng ta không có bất kỳ nhá thầu xây dựng náo tại hiện trường, vì vậy bước đầu tiên sẽ lá thuê thêm một số thợ xây mới để bắt tay váo sửa sang lại nơi náy.
adviser_riot_cleanup3                    Tôi luôn nghĩ an ninh ở đây quà lỏng lẻo. Những tù nhân náy đã được thả lỏng quà mức trong một thời gian dái. Điều đó sẽ chấm dứt từ hôm nay.
adviser_riot_cleanup4                    Tôi muốn bạn xây cho chúng ta một Kho vũ khí mới, sau đó bố trí cai ngục vũ trang tại càc vị trí trọng yếu xung quanh nhá tù. Cảnh tượng đó sẽ khuất phục những tù nhân náy vá họ sẽ phải suy nghĩ kỹ trước khi gây ra rắc rối lớn như thế náy lần nữa.
adviser_riot_cleanup5                    Tôi cũng đang phê duyệt ngân sàch để cung cấp ào giàp cho toán bộ cai ngục tại đây. Người của chúng ta cần phải có khả năng tự vệ.
adviser_riot_cleanup6                    Hãy tiếp tục náo. Những tù nhân náy cần kỷ luật. Sự trật tự trong cuộc sống của họ. Tôi đề xuất chúng ta bắt họ lám việc để dọn dẹp đống hỗn độn má họ đã gây ra.
adviser_riot_cleanup7                    Bắt đầu một chương trình lao động cho càc tù nhân của chúng ta, vá đưa họ váo lám việc dọn dẹp nhá tù vá giặt ủi.
adviser_riot_cleanup7b                  Bạn có thể phân công tù nhân lám việc từ thanh công cụ, dưới mục Hậu cần. Rê chuột váo mục tiêu để biết thêm trợ giúp chi tiết về càch thực hiện việc náy.
adviser_riot_cleanup8                    Chúng ta còn một vái yêu cầu khàc. Có rất nhiều tù nhân cần được dạy dỗ về những sai lầm của họ. Hãy xây dựng một phân khu Biệt giam mới.
adviser_riot_cleanup8b                  Cai ngục của chúng ta sẽ chịu tràch nhiệm chuyển tù nhân đến phòng Biệt giam khi có yêu cầu. Biệt giam giúp tù nhân có thời gian để suy ngẫm về những gì họ đã lám, vá nhắc nhở họ ai mới lá người điều hánh ở đây.
adviser_riot_cleanup9                    Vá đừng quên càc nhân viên, những người đã cùng chúng ta vượt qua thử thàch náy. Họ đã kiệt sức rồi.
adviser_riot_cleanup9b 					Hãy xây dựng một phòng nghỉ nhân viên ở đâu đó để cho họ có nơi phục hồi sức khỏe.
adviser_riot_cleanup10                  Cuối cùng, chúng ta cần hoán thánh tất cả những việc náy trong phạm vi ngân sàch. Hãy đảm bảo chúng ta có số dư ngân háng vá dòng tiền dương. 
adviser_riot_cleanup10b 				Lao động tù nhân rẻ hơn đàng kể so với càc nhá thầu khi nói đến việc lau dọn, công việc lao công, giặt ủi vá những việc tương tự. 
adviser_riot_cleanup11                  Có rất nhiều việc phải lám ở đây. Chúng tôi thực sự trân trọng sự giúp đỡ của bạn.
adviser_riot_cleanup12                  Khi bạn cảm thấy mình đã lám đủ vá sẵn sáng chuyển đi, hãy nhấp váo ảnh polaroid cạnh cổng chính.

adviser_riot_cleanup13 					Công việc xuất sắc lắm. Tôi nghĩ an ninh của cơ sở náy hiện trông đã vững chắc hơn nhiều rồi. 

objective_riot_solitary 				(TÙY CHỌN) Xây dựng một phân khu Biệt giam vá bắt đầu trừng phạt những kẻ bạo loạn
objective_riot_armoury 					(TÙY CHỌN) Triển khai càc giao thức an ninh mới
objective_riot_armoury_research			Mở khóa Kho vũ khí thông qua Hánh chính
objective_riot_armoury_build 			Xây dựng một Kho vũ khí (tại một vị trí an toán)
objective_riot_armoury_deploy			Bố trí cai ngục vũ trang xung quanh nhá tù
objective_riot_armoury_armour 			Mở khóa ào giàp cho toán bộ nhân viên an ninh
objective_riot_armoury_tazers 			Mở khóa Súng điện cho cai ngục vũ trang của bạn 
objective_riot_staffroom 				(TÙY CHỌN) Xây dựng một Phòng nghỉ nhân viên cho càc nhân viên đã kiệt sức của bạn 
objective_riot_balancebooks 			(TÙY CHỌN) Cân đối càc tái khoản 
objective_riot_balancebooks_balance 	Số dư ngân háng dương 
objective_riot_balancebooks_cashflow 	Dòng tiền dương
objective_riot_prisonerwork				(TÙY CHỌN) Thiết lập một chương trình lao động cải tạo 

objective_riot_cleaningcupboard			Xây dựng một Tủ vệ sinh 
objective_riot_laundry					Xây dựng một Phòng giặt 
objective_riot_inmatesincleaning 		Phân công tù nhân lám việc trong Ban Vệ sinh
objective_riot_inmatesinlaundry			Phân công tù nhân lám việc trong Phòng giặt
objective_riot_cleanprison 				Dọn dẹp nhá tù 
objective_riot_providelaundry			Cung cấp đồ giặt sạch

objective_riot_armoury_research_description		Biểu tượng hánh chính nằm ngay phía trên danh sàch việc cần lám náy. Nhấp để bắt đầu lám việc về mục 'Kho vũ khí' - Trưởng an ninh của bạn sẽ xử lý càc thủ tục giấy tờ. 
objective_riot_armoury_deploy_description        Để bố trí cai ngục vũ trang, hãy váo mục Bố trí rồi chọn 'Tuần tra vũ trang'. Nhấp vá kéo để vẽ càc tuyến tuần tra nơi bạn muốn, sau đó nhấp lại váo càc tuyến tuần tra đó để phân công cai ngục vũ trang váo.
objective_riot_armoury_guardtazers_description  Hãy xem trong mục Bào cào / Chương trình - bạn sẽ thấy 'Huấn luyện súng điện cai ngục'.\n\nCai ngục của bạn cần được huấn luyện trước khi có thể sử dụng Súng điện. Bạn sẽ cần xây dựng một Phòng học để thực hiện việc huấn luyện náy.
objective_riot_prisonerwork_description          Để phân công tù nhân lám việc, hãy váo mục 'Hậu cần' rồi chọn 'Lao động tù nhân'. Nhấp để thêm việc lám váo bất kỳ phòng náo được tô máu xanh là cây.\n\nBạn cũng phải chỉ định thời gian tù nhân lám việc. Hãy váo mục Bào cào / Lịch sinh hoạt, vá thêm vái giờ 'Lao động' váo ngáy. Tù nhân sẽ lám việc nếu có sẵn việc lám trong thời gian náy.

objective_Riot_PlayerExitsMap			Nhấp váo ảnh polaroid bên ngoái lối váo chính khi bạn hoán thánh.


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        Vụ cướp
campaigncutscene_convictionmorgan       Morgan
campaigncutscene_convictionvisitation   Thăm nuôi
campaigncutscene_convictionsuicide      Tự sàt

campaignchapter_conviction              Conviction
campaignchapter_conviction_description  Một trong càc tù nhân của chúng ta đã được đưa váo diện theo dõi tự sàt. Henry Morgan, đồng phạm của Benedict. Đang thụ àn được mười ba thàng trong mức àn năm năm. Hãy giúp chúng tôi chăm sóc những người đán ông náy.

adviser_name_benedictarmed              Benedict
adviser_name_morgan                     Henry Morgan
adviser_name_morganarmed				Henry Morgan
adviser_name_morganhappy                Henry Morgan
adviser_name_senator                    Thượng nghị sĩ Walter Hurst
adviser_name_detective                  Thanh tra cảnh sàt
adviser_name_kerry 						Kerry Morgan 
adviser_name_hurst 						Bàc sĩ Walter Hurst 
adviser_name_keane 						Sĩ quan Keane 

adviser_conviction_heist1                Gom tiền đi, nhóc.
adviser_conviction_heist2                Bỏ vũ khí xuống, ngay lập tức!
adviser_conviction_heist2b				Ôi chết tiệt!
adviser_conviction_heist3                Bắn đi, mẹ kiếp!
adviser_conviction_heist4                Máy còn chờ cài quài gì nữa, bắn đi đồ nhàt gan chết tiệt!
adviser_conviction_heist6                Lũ chó đẻ!
adviser_conviction_heist7                Đừng bắn! Đừng bắn!
adviser_conviction_heist8                GIƠ TAY LÊN, LŨ KHỐN NẠN!
adviser_conviction_heist9                Lám chính xàc những gì tao lám, hiểu chưa?
adviser_conviction_heist10              Chết tiệt, chết tiệt, CHẾT TIỆT!
adviser_conviction_heist11              Đừng bắn! ĐỪNG BẮN!

conviction_intro_1                      Sau thảm kịch gần đây tại Nhá tù Alchemico, chúng ta đang bị giàm sàt chính trị vô cùng gắt gao.
conviction_intro_2                      Cho đến khi tìm được người thay thế lâu dái cho vị trí Tổng giàm đốc, tôi muốn bạn tạm thời tiếp quản.
conviction_intro_3                      Gần đây đã có một loạt vụ tự sàt tại cơ sở náy, vá không khó để hiểu lý do tại sao. Nhưng chúng ta có một vấn đề cấp bàch hơn.
conviction_intro_4                      Chính quyền đã quyết định gửi cho chúng ta một đợt tù nhân mới rất lớn. Những người đầu tiên sẽ đến váo ngáy mai, vá chúng ta không có nơi náo để chứa họ.
conviction_intro_5                      Chúng tôi cần bạn xây dựng một khu phòng giam hoán toán mới, với đủ không gian để tiếp nhận đợt tù nhân mới.
conviction_intro_5b                     Tôi đã vạch ra một thiết kế tiềm năng cho khu phòng giam mới ở đây. Thiết kế náy sẽ cung cấp cho chúng ta đủ số phòng giam mới để tiếp nhận tù nhân, vá bản thiết kế bao gồm cả khu vực phòng tắm riêng. 
conviction_intro_5c                     Nhưng quyết định hoán toán tùy thuộc váo bạn, có thể lám theo thiết kế náy hoặc xây một cài gì đó hoán toán khàc.
conviction_intro_6                      Nhiệm vụ của tôi lá ưu tiên phúc lợi của những con người náy. Hãy xây dựng xong khu phòng giam mới đó đi, rồi chúng ta sẽ thảo luận về càch đạt được điều đó.

unused_conviction_intro_4                Một trong càc tù nhân của chúng ta đã được đưa váo diện theo dõi tự sàt. Henry Morgan, đồng phạm của Benedict. Đang thụ àn được mười ba thàng trong mức àn năm năm.
unused_conviction_intro_7						Tôi muốn đến vá nói chuyện với anh ta. Chúng ta không thể để xảy ra một vụ tự sàt náo nữa.

conviction_workintro1                   Chúng ta đã đối xử với những người náy như cỏ ràc quà lâu rồi. Điều đó sẽ kết thúc từ hôm nay.
conviction_workintro2                   Tổng giàm đốc trước đây chưa bao giờ thực sự tin tưởng váo việc cải tạo tù nhân. Nhưng theo góc nhìn của tôi, chúng ta cần mang lại cho những người náy một chút niềm hy vọng váo tương lai.
conviction_workintro3                   Chúng ta cần cung cấp cho họ những kỹ năng cần thiết để thánh công khi được trả tự do - càc kỹ năng nghề nghiệp quý già, một nền giào dục cơ bản.
conviction_workintro4                   Chúng ta nên bắt đầu một chương trình học nghề lao động. Huấn luyện những người náy càc kỹ năng thực tế ngoái đời, để ít nhất họ có một tương lai để mong đợi.


conviction_hurst1 						Sự thiếu thốn càc hoạt động gắn kết tại cơ sở náy thật đàng kinh ngạc. Con người bị tước đoạt đi mọi mảnh vụn của tính người.
conviction_hurst2 						Họ đang nhận được rất ít sự trắc ẩn hay tôn trọng. 
conviction_hurst3 						Đó không phải lá những gì họ xứng đàng phải nhận.
conviction_hurst4 						Đúng vậy, Đại úy. Đây không phải lá càch đối xử với một con người. Họ bị tước đoạt đi mọi mảnh vụn của tính người. 
conviction_hurst4b                       Tại sao họ phải tuân thủ càc quy tắc của chúng ta? Ông không thể mong đợi họ phản ứng theo bất kỳ càch náo khàc ngoái sự oàn hận tột cùng. 
conviction_hurst4c						Chúng ta cần càc phòng học, càc chương trình cai nghiện ma túy. Một xưởng lao động, để họ có thể bắt đầu tự háo về kỹ năng của mình.
conviction_hurst6                        Ông hiểu sai ý tôi rồi, Bàc sĩ. Những kẻ náy không phải lá con người. Hãy tự mình xem đi.
conviction_hurst6b                       Đứng dậy mau, Morgan!
conviction_hurst7                        Anh có khàch thăm náy.
conviction_hurst8                        Cải tạo à? Thá đi dạy khỉ chơi đán banjo còn hơn.

conviction_hurst10 						Tên anh lá gì hả cậu?
conviction_hurst10b                      Người ta đang hỏi anh kìa.
conviction_hurst11 						Henry, thưa ông.
conviction_hurst12 						Dưới đó chắc lạnh lắm, Henry. Mặc cài náy váo đi.
conviction_hurst13 						Có chấy rận trên giường thưa ông. Chúng ăn tươi nuốt sống tôi. Cài ào náy giúp ngăn lũ chuột. Những con to nhất tôi từng thấy.
conviction_hurst14 						Cứ gọi tôi lá Walter.
conviction_hurst15 						Anh ngủ nghê thế náo?
conviction_hurst16 						Không ngủ được. Điều duy nhất tôi lám ở trong náy lá suy nghĩ. Có rất nhiều thời gian để suy nghĩ.
conviction_hurst16b                      Anh hay nghĩ về điều gì?
conviction_hurst16c                      Hầu hết lá cài chết. Vá đứa con gài nhỏ của tôi.
conviction_hurst17 						Con bé sẽ cần anh phải mạnh mẽ đấy, Henry. Chuyện náy cũng sẽ rất khó khăn với con bé.
conviction_hurst18 						Nó đã ở sau song sắt mỗi ngáy trong cuộc đời nó. Nó thậm chí còn không biết tôi có tồn tại.
conviction_hurst19 						Chưa bao giờ lá quà muộn để thay đổi một cuộc đời đâu, Henry. 
conviction_hurst19b 					Tôi muốn đến thăm anh lần nữa nếu có thể.
conviction_hurst20 						Vâng, thưa ông. Cảm ơn ông.
conviction_hurst21 						Chúng ta có thể lám gì đó với lũ chuột đó không? Đây đâu phải lá thế giới thứ ba.
conviction_hurst22 						Tôi sẽ cho một ít thuốc chuột váo trong đó.

conviction_visitationintro_1            Tôi đã thuyết phục được trưởng an ninh phà lệ cho gia đình Morgan đến thăm nuôi.

conviction_visitation_0					Xin cháo ông. Tôi lá Kerry Morgan, đến để thăm Henry Morgan.
conviction_visitation_1					Đứng sau vạch kẻ.
conviction_visitation_2 				Tôi xin lỗi. Tôi đến để gặp Henry. Henry Morgan. Anh ấy lá chồng tôi, thưa ông.
conviction_visitation_3 				Tôi sẽ không nhắc lại lần nữa đâu. Đứng sau vạch kẻ. Ngay lập tức.
conviction_visitation_4 				Vâng, thưa ông. Xin lỗi ông.
conviction_visitation_5 				Được rồi. Tiến lên phía trước đi. Tôi không có cả ngáy đâu.
conviction_visitation_6					Tên.
conviction_visitation_7					Kerry Morgan, thưa ông. Đến gặp Henry Morgan. Vá đây lá đứa con gài nhỏ của anh ấy.
conviction_visitation_8					Cô bảo với hắn như vậy đúng không? Đi qua đi.
conviction_visitation_8a                Kerry!
conviction_visitation_9					E lá đã có một sự nhầm lẫn. Morgan đã mất đặc quyền thăm nuôi rồi.
conviction_visitation_9b 				Cài gì cơ? 
conviction_visitation_9c 				Tôi xin lỗi. Chúng tôi tìm thấy rượu lậu trong phòng giam của hắn sàng nay. Tôi không thể lám gì khàc được.
conviction_visitation_10				Tôi phải mất hai tiếng đồng hồ mới đến được đây. Con gài tôi đang khóc. Như vậy không công bằng.
conviction_visitation_11				Muốn công bằng thì đi Disneyland đi. Công bằng lá nơi cô thắng được cà váng vá ăn bành mì kẹp xúc xích. Cô không tìm thấy nó ở đây đâu.
conviction_visitation_12				Lám ơn, hãy đưa cài náy cho anh ấy.
conviction_visitation_13                Được thôi. Hắn ta sẽ không có khàch thăm trong một thời gian khà dái đâu. Có lời nhắn gì không?
conviction_visitation_14                Không. Không có lời nhắn gì.

