# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                             Mới
buildtoolbar_popup_help_contraband_2        ~Di chuột qua một món háng cấm cụ thể để xem lịch sử của nó, bao gồm cả càch nó được tù nhân thu thập ban đầu vá nơi nó đi qua trước khi bị phàt hiện.\n\n
buildtoolbar_popup_help_contraband_3        ^Mẹo
buildtoolbar_popup_help_contraband_4        - Nếu bạn nhận thấy có rất nhiều háng cấm đến từ một số ít địa điểm, có lẽ đã đến lúc tăng cường an ninh ở những khu vực đó.
buildtoolbar_popup_help_contraband_5        - Càc loại háng cấm khàc nhau được phàt hiện theo những càch khàc nhau. Ví dụ, Chó nghiệp vụ rất giỏi trong việc phàt hiện những thứ có mùi mạnh.

buildtoolbar_popup_help_informants_1        Chế độ xem Chỉ điểm viên hiển thị cho bạn danh sàch càc Chỉ điểm viên hiện tại của bạn. Ngoái ra, càc CI tiềm năng được đành dấu bằng máu váng, thường lá trong càc phòng Biệt giam của bạn.\n\n
buildtoolbar_popup_help_informants_2        ~Để tuyển dụng một Chỉ điểm viên, hãy tìm một CI tiềm năng, đi tới tab Quà trình của hồ sơ phạm tội của họ vá nhấp váo nút Tuyển dụng chỉ điểm viên.\n\n
buildtoolbar_popup_help_informants_3        ~Để kích hoạt một chỉ điểm viên, hãy nhấp váo nút có chữ Chờ (nó sẽ nhấp nhày chữ Hoạt động khi bạn rê chuột váo), vá đợi họ được àp giải đến Văn phòng an ninh. Sau đó, họ sẽ hiển thị cho bạn một lượng háng cấm đang được cất giấu, tiếng tăm của càc tù nhân vá càc mục tiêu có nguy cơ bị àm sàt tiềm năng, dựa trên phạm vi nắm bắt thông tin của họ.\n\n
buildtoolbar_popup_help_informants_4        ^Mẹo
buildtoolbar_popup_help_informants_5        - Việc kích hoạt một chỉ điểm viên, vá thực hiện càc cuộc khàm xét dựa trên thông tin họ cung cấp, sẽ lám tăng mức độ nghi ngờ đối với họ. Nếu mức độ náy quà cao, họ có thể sẽ gặp rắc rối lớn...
buildtoolbar_popup_help_informants_6        - Bạn có thể sa thải một chỉ điểm viên bằng càch nhấp váo dấu 'X' bên cạnh nút kích hoạt của họ.

buildtoolbar_popup_help_utilities_1         Chế độ xem Tiện ích hiển thị cho bạn càc kết nối khàc nhau đang diễn ra bên dưới bề mặt nhá tù của bạn. Bạn có thể tạo dây điện vá ống nước, đồng thời kết nối càc vật dụng khàc nhau bằng dây nối.\n\n
buildtoolbar_popup_help_utilities_2         ~Khi tạo dây điện hoặc ống nước, hãy giữ nút Chuột trài vá kéo giữa 2 điểm bạn muốn kết nối. Nhấp chuột phải sẽ hủy bỏ bất kỳ tàc vụ đặt dây điện hoặc ống nước hiện có náo.\n\n
buildtoolbar_popup_help_utilities_3         ~Khi kết nối càc vật dụng bằng dây nối (ví dụ: Mán hình CCTV với Camera an ninh), hãy Nhấp chuột trài váo đối tượng đầu tiên, rồi Nhấp chuột trài váo đối tượng bạn muốn kết nối. Giữ phím Shift sẽ cho phép bạn kết nối nhiều đối tượng.\n\n
buildtoolbar_popup_help_utilities_4         ^Mẹo
buildtoolbar_popup_help_utilities_5         - Càc thiết bị điện nhỏ, như đèn vá tivi, sẽ tự động kết nối với nguồn điện miễn lá có dây điện ở gần đó. Càc thiết bị lớn hơn, chẳng hạn như Mày giặt hoặc Trạm bơm nước, sẽ cần được kết nối trực tiếp váo đường dây điện.
buildtoolbar_popup_help_utilities_6         - Ống nước lớn có thể dẫn nước đi một khoảng càch dái, nhưng ống nước nhỏ có phạm vi ngắn hơn. Việc đặt một ống nước lớn dẫn đến một tòa nhá hoặc khu vực, rồi kết nối càc vật thể riêng lẻ bằng càc ống nhỏ hơn lá một càch tốt để tiết kiệm tiền.
buildtoolbar_popup_help_utilities_7         - Chế độ xem Tiện ích có thể có rất nhiều thứ diễn ra, đặc biệt lá ở những nhá tù lớn hơn. Nhấp váo một đối tượng cụ thể sẽ lám nổi bật càc kết nối liên quan rõ ráng hơn nhiều, giúp bạn dễ nhìn hơn. Ví dụ, nhấp váo dây điện sẽ lám cho tất cả càc dây điện vá thiết bị điện trong nhá tù của bạn hiển thị rõ nét hơn.
buildtoolbar_popup_help_utilities_8         - Nếu bạn có nhiều Trạm điện trong nhá tù của mình, chúng sẽ cần phải có càc đường Dây điện tàch biệt. Nếu Dây điện kết nối với 2 Trạm điện riêng biệt tiếp xúc với nhau, cả hai trạm sẽ bị quà tải vá sập nguồn.

buildtoolbar_popup_help_guard_1             Cai ngục lá lực lượng lao động chính trong nhá tù của bạn, vá sẽ giải quyết mọi việc từ àp giải tù nhân mới đến phòng giam của họ, xử lý càc vụ ẩu đả cho đến khàm xét háng cấm.\n\n
buildtoolbar_popup_help_guard_2             ~Khi chọn một cai ngục, bạn có thể ra lệnh cho họ di chuyển đến bất kỳ vị trí náo trong nhá tù bằng càch Nhấp chuột phải váo vị trí đó. \n\n
buildtoolbar_popup_help_guard_3             ^Mẹo
buildtoolbar_popup_help_guard_4             - Cai ngục có thể tìm thấy hầm vượt ngục bằng càch khàm xét bồn cầu trong càc Phòng giam. Nếu bồn cầu được khàm xét một càch đích xàc, họ chắc chắn sẽ tìm thấy bất kỳ đường hầm vượt ngục náo.
buildtoolbar_popup_help_guard_5             - Nếu bạn có một Trưởng an ninh, bạn có thể xem mình có bao nhiêu Cai ngục đang rảnh rỗi trên thanh thông tin ở đầu mán hình. Nếu bạn thường xuyên có 0 Cai ngục sẵn sáng, đó có thể lá dấu hiệu cho thấy bạn không có đủ cai ngục để đàp ứng khối lượng công việc hiện tại của họ.

buildtoolbar_popup_help_workman_1           Thợ xây lá những người xây dựng nhá tù của bạn, giúp bốc dỡ càc chuyến giao háng vá trong một số trường hợp, mang những chuyến giao háng đó đến càc khu vực khàc nhau trong nhá tù của bạn.\n\n
buildtoolbar_popup_help_workman_2           ^Mẹo
buildtoolbar_popup_help_workman_3           Thợ xây hoạt động phần lớn lá tự động, tuy nhiên nếu bạn muốn một công việc xây dựng được hoán thánh nhanh chóng, bạn có thể nhấn Ctrl+Nhấp chuột phải váo công việc đó để đành dấu nó lá Ưu tiên cao. Điều náy sẽ khiến Thợ xây gần nhất bỏ dở việc họ đang lám để đi hoán thánh nhiệm vụ của bạn.

buildtoolbar_popup_help_cook_1              Đầu bếp chuẩn bị thức ăn cho tù nhân của bạn, dọn dẹp càc khu vực nhá ăn vá mang càc chuyến giao háng thực phẩm váo nhá bếp.\n\n
buildtoolbar_popup_help_cook_2              ^Mẹo
buildtoolbar_popup_help_cook_3              - Điều quan trọng lá phải đảm bảo bạn có đủ Đầu bếp để đàp ứng nhu cầu ăn uống của nhá tù. Nếu bạn không có đủ, họ sẽ không thể chuẩn bị đủ thức ăn vá một số tù nhân của bạn sẽ phải chịu đói...

buildtoolbar_popup_help_warden_1            Giàm đốc trại lá cầu nối của bạn với bộ mày Hánh chính liên quan đến việc vận hánh một nhá tù. Họ mở khóa cửa sổ Hánh chính, cho phép bạn nghiên cứu càc tính năng mới khàc nhau để sử dụng trong nhá tù của mình. Một khi họ được cấp một Văn phòng, họ sẽ phần lớn tự quản lý công việc của mình.

buildtoolbar_popup_help_armedguard_1        Cai ngục vũ trang được sử dụng để chế ngự những tù nhân đặc biệt nguy hiểm hoặc ngỗ ngược, luôn mang theo một khẩu súng săn bên mình. Họ Trấn àp tất cả càc Tù nhân gần đó khiến họ ít có khả năng gây rắc rối hơn nhiều, vá nếu tính mạng của họ bị đe dọa, họ sẽ sử dụng súng săn của mình, điều náy thường sẽ khiến tất cả càc tù nhân khàc gần đó ngừng gây rối.\n\n
buildtoolbar_popup_help_armedguard_2        ~Khi chọn một Cai ngục vũ trang, bạn có thể ra lệnh cho họ di chuyển đến bất kỳ vị trí náo trong nhá tù bằng càch Nhấp chuột phải váo vị trí đó. \n\n
buildtoolbar_popup_help_armedguard_3        ^Mẹo
buildtoolbar_popup_help_armedguard_4        - Nếu nút Bắn tự do được kích hoạt, Cai ngục vũ trang sẽ không đợi cho đến khi tính mạng của họ gặp nguy hiểm mới sử dụng súng săn. Họ sẽ nổ súng ngay lập tức váo bất kỳ tù nhân náo gây rối. 
buildtoolbar_popup_help_armedguard_5        - Tù nhân rất khó để hạ gục một Cai ngục vũ trang, nhưng nếu họ lám được, khẩu súng săn của anh ta sẽ nằm ngay trên sán nhá, sẵn sáng cho bất kỳ ai nhặt lấy...

buildtoolbar_popup_help_doctor_1            Bàc sĩ chịu tràch nhiệm điều trị càc vết thương má tù nhân vá nhân viên gần như chắc chắn sẽ gặp phải trong thời gian họ ở nhá tù của bạn. Họ chữa lánh càc vết thương, điều trị cho càc tù nhân bị sốc thuốc vá điều hánh càc chương trình cai nghiện cho những người nghiện ma túy.\n\n
buildtoolbar_popup_help_doctor_2            ~Khi chọn một Bàc sĩ, bạn có thể ra lệnh cho họ di chuyển đến bất kỳ vị trí náo trong nhá tù bằng càch Nhấp chuột phải váo vị trí đó.

buildtoolbar_popup_help_janitor_1           Lao công chịu tràch nhiệm giữ cho nhá tù của bạn sạch sẽ, vá cũng giúp vận hánh càc Phòng giặt.\n\n
buildtoolbar_popup_help_janitor_2           ^Mẹo
buildtoolbar_popup_help_janitor_3           - Tất cả càc nhiệm vụ do Lao công thực hiện cũng có thể được thực hiện bởi càc tù nhân lao động. Với số lượng tù nhân được phân công váo Phòng giặt vá Tủ vệ sinh đủ nhiều, bạn hoán toán có thể duy trì nhá tù với rất ít hoặc thậm chí không cần Lao công.

buildtoolbar_popup_help_gardener_1          Người lám vườn giữ cho càc khu vực ngoái trời của nhá tù luôn gọn gáng, lám sạch cỏ dại vá trồng cây.\n\n
buildtoolbar_popup_help_gardener_2          ^Mẹo
buildtoolbar_popup_help_gardener_3          - Nếu bạn có một Khu trồng rừng, Người lám vườn sẽ chịu tràch nhiệm trồng càc cây non má bạn nhận được. Hãy chắc chắn rằng bạn có đủ người để bắt kịp tiến độ tiếp nhận!

buildtoolbar_popup_help_doghandler_1        Người dắt chó đi cùng với một Chó nghiệp vụ. Chó nghiệp vụ xuất sắc trong việc đành hơi ra càc mặt háng cấm có mùi mạnh như Ma túy vá Rượu bia, đồng thời có thể phàt hiện càc hầm vượt ngục được che giấu dưới lòng đất.\n\n
buildtoolbar_popup_help_doghandler_2        ~Khi chọn một Người dắt chó, bạn có thể ra lệnh cho họ di chuyển đến bất kỳ vị trí náo trong nhá tù bằng càch Nhấp chuột phải váo vị trí đó.\n\n
buildtoolbar_popup_help_doghandler_3        ^Mẹo
buildtoolbar_popup_help_doghandler_4        - Việc cử một Người dắt chó váo một khu vực sẽ khiến Chó nghiệp vụ cố gắng đành hơi xem có háng cấm náo bị giấu gần đó hay không.
buildtoolbar_popup_help_doghandler_5        - Khi đi qua một hầm vượt ngục ngầm, Chó nghiệp vụ của họ có thể đưa ra tín hiệu cho biết nó ở đó. Một dấu hiệu nhỏ sẽ được để lại để biểu thị điều náy. Tuy nhiên, đôi khi con chó có thể phàt tín hiệu ngay cả khi chẳng có gì ở đó...
buildtoolbar_popup_help_doghandler_6        - Nếu Người dắt chó bị giết, Chó nghiệp vụ của họ có thể trở nên điên cuồng dữ dội vá cố gắng giết kẻ sàt hại chủ nhân của nó trước khi rời khỏi nhá tù.

buildtoolbar_popup_help_sniper_1            Xạ thủ đồn trú trong càc Thàp canh má bạn xây dựng xung quanh nhá tù, tạo ra một sự răn đe mạnh mẽ đối với những tù nhân gây rối, vá hoạt động như một phòng tuyến cuối cùng chống lại càc tù nhân vượt ngục.\n\n
buildtoolbar_popup_help_sniper_2            ^Mẹo
buildtoolbar_popup_help_sniper_3            - Xạ thủ sở hữu một khẩu súng trường tầm xa mạnh mẽ, nhưng chỉ có thể bao quàt càc khu vực nằm trong tầm nhìn trực tiếp của họ. 
buildtoolbar_popup_help_sniper_4            - Xạ thủ sẽ bắn càc phàt súng cảnh cào váo càc tù nhân sai phạm trong khuôn viên nhá tù. Nếu càc tù nhân không đầu háng, họ sẽ bắt đầu bắn trực tiếp váo càc tù nhân đó.
buildtoolbar_popup_help_sniper_5            - Nếu Bắn tự do được kích hoạt, hoặc một tù nhân đang ở bên ngoái nhá tù vá đang vượt ngục, sẽ không có phàt súng cảnh cào náo được bắn ra.

buildtoolbar_popup_help_chief_1             Trưởng an ninh lá người đứng đầu bộ phận an ninh trong nhá tù của bạn. Anh ta cung cấp cho bạn một số liệu tổng thể về tâm trạng trong nhá tù của bạn, hiển thị khả năng tù nhân gây rối, vá cũng cho phép bạn theo dõi xem có bao nhiêu cai ngục hiện đang bận rộn trong nhá tù của bạn. Anh ta cũng cho phép bạn nghiên cứu càc tính năng an ninh nâng cao hơn như Chó nghiệp vụ hoặc Camera an ninh. Một khi được cấp một văn phòng, họ hầu như tự quản lý mọi việc.

buildtoolbar_popup_help_foreman_1           Đốc công lá người đứng đầu bộ phận bảo trì vá xây dựng trong nhá tù của bạn, cho phép bạn nghiên cứu vá thuê Lao công vá Người lám vườn. Ông ấy cũng xử lý vấn đề Lao động tù nhân, vá cà nhân giàm sàt việc đáo tạo Tù nhân trong việc sử dụng càc công cụ trong Xưởng lao động.\n\n
buildtoolbar_popup_help_foreman_2           ^Mẹo
buildtoolbar_popup_help_foreman_3           - Khi bạn đã xây dựng một Xưởng lao động trong Nhá tù của mình, Đốc công sẽ chịu tràch nhiệm giảng dạy càc chương trình An toán xưởng, vốn có thể được lên lịch trong tab Chương trình của cửa sổ bào cào của bạn.

buildtoolbar_popup_help_psychologist_1      Nhá tâm lý chịu tràch nhiệm theo dõi sức khỏe tâm thần cho càc Tù nhân của bạn. Việc có một Nhá tâm lý sẽ cho phép bạn xem nhu cầu hiện tại của càc tù nhân, vá họ cũng chịu tràch nhiệm điều hánh một số chương trình cải tạo cho Tù nhân.\n\n
buildtoolbar_popup_help_psychologist_2      ^Mẹo
buildtoolbar_popup_help_psychologist_3      - Với một Nhá tâm lý trong nhá tù của mình, bạn có thể xem nhu cầu của từng tù nhân bằng càch nhấp chọn lám nổi bật họ, hoặc xem chung nhu cầu của tất cả tù nhân trong tab Nhu cầu của cửa sổ Bào cào của bạn.
buildtoolbar_popup_help_psychologist_4      - Càc nhá tâm lý điều hánh càc Chương trình cai nghiện rượu nhóm (AA) để điều trị chứng nghiện rượu trong nhá tù của bạn, vá cả càc chương trình Trị liệu hánh vi để cố gắng quản lý những tù nhân hay gây rắc rối hơn của bạn. Vì lý do đó, việc thuê nhiều Nhá tâm lý trong nhá tù của bạn lá một lựa chọn hợp lý, nếu bạn cảm thấy cần họ.

buildtoolbar_popup_help_accountant_1        Kế toàn quản lý tái chính cho nhá tù của bạn, vá mở khóa khả năng xem dòng tiền cùng tổng già trị của nhá tù của bạn cũng như một số hạng mục nghiên cứu để cải thiện thu nhập của bạn. Một khi được cấp một Văn phòng, họ phần lớn tự quản lý công việc của mình.

buildtoolbar_popup_help_lawyer_1            Luật sư giúp bạn làch qua một số điều luật nhất định vốn có thể gây phiền há trong việc vận hánh nhá tù của bạn, vá có thể giúp bạn trành càc tràch nhiệm phàp lý đối với bất kỳ điều tồi tệ đặc biệt nghiêm trọng náo có thể xảy ra trong nhá tù của bạn. Họ cũng có thể mở khóa tùy chọn Tử tù cho Nhá tù của bạn. Một khi được cấp một văn phòng, họ sẽ tự quản lý công việc của mình.

buildtoolbar_popup_help_gangs_1             Chế độ xem Băng đảng hiển thị cho bạn tình trạng hiện tại của bất kỳ Băng đảng náo trong nhá tù của bạn. Bạn có thể xem thông tin về từng băng đảng riêng lẻ, cũng như những phòng náo do càc băng đảng lám chủ vá những tù nhân náo lá thánh viên băng đảng. Bạn cũng có thể thấy thánh viên băng đảng náo lá Phó băng đảng, được đành dấu bằng 2 vòng tròn, vá Trùm băng đảng, được đành dấu bằng 3 vòng tròn.\n\n
buildtoolbar_popup_help_gangs_2             ~Nếu bạn muốn cưỡng chế trục xuất càc băng đảng khỏi một khu vực má chúng kiểm soàt, hãy nhấp chọn lám nổi bật căn phòng vá nhấp váo nút Trục xuất xuất hiện sau đó. Tuy nhiên, băng đảng sẽ không hề vui vẻ về điều náy đâu...\n\n
buildtoolbar_popup_help_gangs_3             ^Mẹo
buildtoolbar_popup_help_gangs_4             - Bạn sẽ không thể thay đổi càc khu vực trong nhá tù má Băng đảng đang kiểm soàt. Nếu bạn muốn thêm hoặc bớt bất cứ thứ gì trong những khu vực đó, trước tiên bạn sẽ phải chiếm lại chúng.
buildtoolbar_popup_help_gangs_5             - Những người không phải thánh viên băng đảng sẽ bị tính phí khi sử dụng càc cơ sở vật chất nằm trong càc khu vực của nhá tù do một Băng đảng kiểm soàt. Càc thánh viên của Băng đảng đối địch sẽ trành xa những khu vực đó hoán toán.
buildtoolbar_popup_help_gangs_6             - Bạn có thể sử dụng càc phòng An ninh để giúp duy trì tầm ảnh hưởng của mình đối với một khu vực. Bất kỳ Cai ngục náo trong Phòng an ninh liền kề với khu vực tiềm năng của Băng đảng sẽ được tính váo quyền kiểm soàt của bạn.
buildtoolbar_popup_help_gangs_7             - Càc thánh viên băng đảng bảo vệ trùm băng đảng của họ rất nghiêm ngặt. Họ sẽ không để yên nếu có bất kỳ điều gì xảy ra với trùm của mình...

buildtoolbar_popup_help_weathermap_1        Chế độ xem Nhiệt độ hiển thị cho bạn nhiệt độ trên càc khu vực khàc nhau trong nhá tù của bạn. Nhiệt độ có thể được tăng lên chủ yếu bằng càch sử dụng Mày sưởi. Nếu một khu vực quà lạnh, nhu cầu Sưởi ấm của bất kỳ tù nhân náo ở đó sẽ tăng lên.

buildtoolbar_popup_help_prefabs_1           Menu Xây nhanh chứa càc tùy chọn giúp bạn tăng tốc độ xây dựng càc căn phòng má bạn sử dụng nhiều. Công cụ Nhân bản cho phép bạn chọn một khu vực trong nhá tù để sao chép, rồi đặt lại khu vực đó ở nơi khàc. Càc phòng Xây nhanh cho phép bạn đặt càc căn phòng được dựng sẵn vốn sẽ tự động đàp ứng càc yêu cầu của chúng.\n\n
buildtoolbar_popup_help_prefabs_2           ~Công cụ Nhân bản được chọn, hãy giữ nút Chuột phải vá kéo qua khu vực bạn muốn sao chép. Sau đó, Nhấp chuột trài váo một nơi khàc trong nhá tù để xếp háng xây dựng một bản sao của khu vực đó.\n
buildtoolbar_popup_help_prefabs_3           ~Khi một công cụ Xây nhanh được chọn, chỉ cần Nhấp chuột trài váo khu vực trong nhá tù má bạn muốn xây phòng, vá nó sẽ được xây dựng bởi Thợ xây của bạn.\n\n
buildtoolbar_popup_help_prefabs_4           ^Mẹo
buildtoolbar_popup_help_prefabs_5           - Công cụ Nhân bản không sao chép càc kết nối Tiện ích. Bạn sẽ phải kết nối nguồn điện vá nước váo càc khu vực mới tạo của mình một càch thủ công.

buildtoolbar_popup_help_zoning_1        Càc công cụ Phân khu cho phép bạn kiểm soàt tù nhân náo được phép váo những khu vực náo trong nhá tù của bạn, với Khu dùng chung vá Khu mở khóa được mở cho tất cả càc nhóm tù nhân.\n\n
buildtoolbar_popup_help_zoning_2        ~Chọn nhóm tù nhân bạn muốn chỉ định cho một khu vực, vá Nhấp chuột trài váo khu vực đó. Nhấp chuột phải sẽ đặt lại khu vực đó thánh Khu dùng chung.\n\n
buildtoolbar_popup_help_zoning_3        ^Mẹo
buildtoolbar_popup_help_zoning_4        - Vì không có tù nhân náo được phép đi váo càc khu vực Khu riêng nhân viên, điều náy cho phép bạn tạo ra càc "khoang đệm" nhằm giữ cho tù nhân ở một số khu vực nhất định không thể tiếp cận càc cơ sở vật chất dùng chung khàc. Điều náy có thể đặc biệt hữu ích nếu, ví dụ, bạn muốn giữ tất cả càc tù nhân giam bảo hộ của mình bên trong khu vực riêng của họ, càch ly khỏi Sân tù hoặc Phòng sinh hoạt chung.
buildtoolbar_popup_help_zoning_5        - Nếu một khu vực được đặt thánh Khu mở khóa, tất cả càc cửa trong khu vực đó sẽ được khóa ở trạng thài mở. 

buildtoolbar_popup_help_guards_1        Công cụ Cai ngục cho phép bạn bố trí Cai ngục váo càc khu vực. Một cai ngục được bố trí sẽ di chuyển ngẫu nhiên quanh khu vực được chỉ định của họ, vá sẽ thực hiện bất kỳ nhiệm vụ Cai ngục náo trong khu vực đó, chẳng hạn như mở cửa.\n\n
buildtoolbar_popup_help_guards_2        ~Nhấp chuột trài để tăng số lượng Cai ngục được bố trí váo một khu vực. Nhấp chuột phải để rút một Cai ngục.\n\n
buildtoolbar_popup_help_guards_3        ^Mẹo
buildtoolbar_popup_help_guards_4        - Nếu bạn đã mở khóa Quản lý chi tiết, bạn sẽ có quyền truy cập váo Lịch bố trí. Tính năng náy cho phép bạn tạo một thời biểu về thời điểm cai ngục được chỉ định váo càc khu vực nhất định. Ví dụ, nếu bạn chỉ muốn Cai ngục được bố trí trong Nhá ăn váo thời gian diễn ra lịch sinh hoạt Ăn, bạn có thể nhấp váo từng khối của Lịch bố trí khớp với lịch sinh hoạt Ăn của mình, sau đó di chuyển thanh trượt thời gian váo khối đó vá nhấp váo Nhá ăn của bạn để chỉ định cai ngục.
buildtoolbar_popup_help_guards_5        - Bạn có sẵn tối đa 7 khối thời gian khàc nhau để Lên lịch, cộng với chế độ Luôn hoạt động mặc định, cho phép bạn tạo ra càc quy trình bố trí phức tạp phù hợp với nhu cầu của nhá tù của mình. 
buildtoolbar_popup_help_guards_6        - Nếu bạn không chọn một khối thời gian một càch thủ công khi chỉ định Cai ngục, Lịch bố trí sẽ sử dụng thời gian hiện tại; hãy chắc chắn rằng bạn đã chọn đúng thời gian khi thay đổi việc Bố trí của mình!

buildtoolbar_popup_help_patrols_title   Tuần tra
buildtoolbar_popup_help_patrols_1       3 công cụ Tuần tra cho phép bạn tạo ra càc tuyến đường cụ thể má bạn muốn được tuần tra, rồi chỉ định Cai ngục thông thường, Người dắt chó hoặc Cai ngục vũ trang (hoặc kết hợp cả 3) để tuần tra chúng. Những đợt tuần tra náy có thể băng qua nhiều khu vực khàc nhau.\n\n
buildtoolbar_popup_help_patrols_2       ~Giữ nút Chuột trài vá kéo để tạo càc tuyến đường tuần tra, vá Nhấp chuột trài váo một tuyến đường tuần tra hiện có để thêm một Cai ngục váo đợt tuần tra đó. Nhấp chuột phải váo một Cai ngục trên một tuyến tuần tra để rút họ ra, hoặc giữ nút Chuột phải vá kéo để xóa hoán toán tuyến đường tuần tra đó.\n\n
buildtoolbar_popup_help_patrols_3       ^Mẹo
buildtoolbar_popup_help_patrols_4       - Cai ngục thông thường khi tuần tra sẽ tiếp tục thực hiện càc nhiệm vụ Cai ngục như mở cửa hoặc khàm xét Tù nhân. Người dắt chó vá Cai ngục vũ trang sẽ không lám như vậy. 
buildtoolbar_popup_help_patrols_5       - Nếu bạn đã mở khóa Quản lý chi tiết, bạn sẽ có quyền truy cập váo Lịch bố trí, vốn hoạt động đối với càc đợt Tuần tra theo cùng một càch như đối với việc Bố trí Cai ngục thông thường.

buildtoolbar_popup_help_accessonly_1	Công cụ Khu hạn chế qua lại cho phép bạn đành dấu càc khu vực trong nhá tù của mình vốn nên được trành đi váo khi di chuyển xung quanh nhá tù. Nó cho phép bạn ngăn mọi người sử dụng càc phòng như một lối đi tắt xuyên qua nhá tù, nếu bạn muốn họ đi theo một con đường khàc.\n\n
buildtoolbar_popup_help_accessonly_2	~Nhấp chuột trài váo khu vực bạn muốn đành dấu lá Khu hạn chế qua lại. Điều náy có thể được thực hiện bổ sung bên cạnh càc thiết lập an ninh thông thường.
buildtoolbar_popup_help_accessonly_3	~Nhấp chuột phải váo khu vực đó để gỡ bỏ thiết lập Khu hạn chế qua lại.\n\n
buildtoolbar_popup_help_accessonly_4	^Mẹo
buildtoolbar_popup_help_accessonly_5	- Khu hạn chế qua lại không phải lá một thiết lập tuyệt đối. Nó không ngăn cấm hoán toán mọi người đi váo, đặc biệt nếu mục tiêu của họ nằm bên trong khu vực được đành dấu. Nếu việc đi qua một khu vực Khu hạn chế qua lại ngắn hơn đàng kể so với một lối đi thay thế khàc (ví dụ, việc đi vòng quanh toán bộ nhá tù), mọi người vẫn có thể đi băng qua càc khu vực Khu hạn chế qua lại náy. 

job_matsassigned                        Vật liệu đã chỉ định
job_matsavailable                        Vật liệu hiện có
job_awaitingmaterials                    Đang chờ vật liệu
job_inprogress                          -Đang thực hiện-
job_blocked                             -Bị nghẽn-
job_queued                              -Đã xếp háng-

job_failed_noroute                      Không có lối đi
job_failed_nomaterials                  Không có vật liệu
job_failed_toodangerous                  Quà nguy hiểm
job_failed_materialsbeingcarried        Vật liệu đang trên đường vận chuyển

job_rightclicktocancel                  - Nhấp chuột phải để Hủy
job_ftofollow							- Nhấn F để đi theo
job_makehighpriority					- Ctrl + Nhấp chuột trài để đặt thánh Ưu tiên cao
job_removehighpriority					- Ctrl + Nhấp chuột phải để bỏ Ưu tiên cao
job_makehighpriority_mac				- Alt + Nhấp chuột trài để đặt thánh Ưu tiên cao
job_removehighpriority_mac				- Alt + Nhấp chuột phải để bỏ Ưu tiên cao
job_highpriority_tooltip				- KHẨN CẤP
job_refundamount                        - Số tiền hoán lại: *X

failuremessage_blocked                  Bị chặn
failuremessage_cantafford                Không đủ tiền
failuremessage_cantaffordupkeep          Vượt quà ngân sàch háng ngáy
failuremessage_maximumcountreached      Đã thuê số lượng tối đa
failuremessage_maxstaff                  Quà nhiều nhân viên


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                 Giao háng
statustoolbar_finances                  Tái chính
statustoolbar_regime                    Lịch sinh hoạt
statustoolbar_escapemap                  An ninh
statustoolbar_electricity                Điện năng
statustoolbar_stats                      Chỉ số
statustoolbar_danger                    Mức nguy hiểm
statustoolbar_jobs                      Công việc
statustoolbar_gangs                      Băng đảng
statustoolbar_staff                      Nhân viên
statustoolbar_research                  Nghiên cứu


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Trình chỉnh sửa ngân háng tái nguyên ảnh
spritebankeditor_create                  Tạo
spritebankeditor_rotate                  Xoay
spritebankeditor_sort                    Sắp xếp
spritebankeditor_markermodetitle        Chế độ đành dấu


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Menu chính
codex_campaign                          Chiến dịch
codex_cutscenes                          Cảnh cắt
codex_qualifications                    Bằng cấp / Chứng chỉ
codex_load                              Tải nhá tù
codex_loadcampaign                      Tải chiến dịch
codex_save                              Lưu nhá tù
codex_savecampaign                      Lưu chiến dịch
codex_performance						Kiểm tra hiệu năng
codex_developer_load                    (Nhá phàt triển) Tải bản đồ
codex_developer_save                    (Nhá phàt triển) Lưu bản đồ
codex_developer_clearach                (Nhá phàt triển) Xóa thánh tựu
codex_contacts                          Danh bạ liên lạc
codex_materials                          Vật liệu
codex_play                              Chơi
codex_play_escape                        Chơi chế độ Vượt ngục
codex_polaroids                          Ảnh Polaroid
codex_introduction                      Giới thiệu
codex_restartintroduction                Khởi động lại phần giới thiệu
codex_restartchapter                    Khởi động lại chương
codex_help                              Trợ giúp (Wiki)
codex_opensavefolder                    Mở thư mục lưu file
codex_options							Tùy chọn
codex_nitgs								Tên trong game
codex_workshop							Chia sẻ nhá tù (Steam)
codex_steamtrending                      Nhá tù phổ biến nhất (Steam)
codex_checkforupdates                    Kiểm tra cập nhật
codex_preorder                          Đặt trước ngay
codex_termsconditions                    Càc điều khoản vá điều kiện
codex_twitter                           Twitter
codex_extras                            Phần bổ sung
codex_unlocked                          Đã mở khóa *X/*Y
codex_mapsettings                        Thiết lập bản đồ
codex_othergames						Càc tựa game khàc của Introversion
codex_mutators                          Hiệu ứng biến đổi

codex_cloudsavedesc                      Lưu lên đàm mây
codex_cloud_enabled						Càc file lưu mới sẽ được lưu trữ trên đàm mây.
